,symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk,file_name
294279,BTC,1,Bitcoin,"$53,590,105,666 ",$3249.68,"16,490,887","$1,943,490,000",0.15%,12.78%,19.44%,r_20170805-235006
295300,BTC,1,Bitcoin,"$52,196,600,312 ",$3165.08,"16,491,400","$1,441,410,000",-1.28%,0.44%,17.93%,r_20170806-081506
296324,BTC,1,Bitcoin,"$57,306,738,489 ",$3474.12,"16,495,325","$1,688,510,000",0.85%,7.03%,22.88%,r_20170808-082005
297348,BTC,1,Bitcoin,"$61,920,512,001 ",$3752.15,"16,502,675","$2,078,450,000",-0.63%,6.67%,17.61%,r_20170812-132505
298389,BTC,1,Bitcoin,"$67,545,360,873 ",$4088.43,"16,521,100","$2,570,300,000",-0.46%,8.03%,-0.84%,r_20170823-061006
299455,BTC,1,Bitcoin,"$71,413,413,802 ",$4316.80,"16,543,137","$2,175,950,000",-0.90%,-6.61%,0.56%,r_20170904-093005
300520,BTC,1,Bitcoin,"$55,880,082,635 ",$3386.70,"16,499,862","$1,460,380,000",-0.68%,1.17%,22.63%,r_20170810-223005
301569,BTC,1,Bitcoin,"$78,363,566,033 ",$4738.86,"16,536,375","$1,963,860,000",0.18%,2.90%,9.23%,r_20170901-033505
302653,BTC,1,Bitcoin,"$74,041,108,374 ",$4474.53,"16,547,237","$2,475,380,000",0.07%,9.84%,-2.46%,r_20170906-042505
303723,BTC,1,Bitcoin,"$68,714,218,656 ",$4158.72,"16,522,925","$2,256,920,000",0.23%,1.35%,-4.55%,r_20170824-053005
304782,BTC,1,Bitcoin,"$65,009,960,636 ",$3935.18,"16,520,200","$3,504,360,000",0.03%,-2.64%,-3.88%,r_20170822-162005
305828,BTC,1,Bitcoin,"$56,679,451,915 ",$3435.98,"16,495,862","$1,648,260,000",-0.66%,2.02%,24.62%,r_20170808-132006
306872,BTC,1,Bitcoin,"$68,908,688,235 ",$4165.07,"16,544,425","$2,973,410,000",-1.56%,-8.48%,-4.90%,r_20170905-010505
307952,BTC,1,Bitcoin,"$76,234,358,302 ",$4611.22,"16,532,362","$2,572,030,000",0.29%,5.23%,11.31%,r_20170830-061505
309008,BTC,1,Bitcoin,"$56,394,310,099 ",$3418.57,"16,496,462","$1,740,510,000",-0.45%,2.17%,25.68%,r_20170808-212505
310032,BTC,1,Bitcoin,"$53,073,635,719 ",$3218.02,"16,492,637","$1,105,590,000",-0.82%,-1.27%,17.53%,r_20170807-000005
311059,BTC,1,Bitcoin,"$58,947,642,488 ",$3572.33,"16,501,175","$1,876,030,000",1.04%,4.64%,24.80%,r_20170811-153005
312088,BTC,1,Bitcoin,"$52,629,171,206 ",$3191.54,"16,490,212","$1,674,380,000",-0.16%,11.02%,17.25%,r_20170805-162005
313122,BTC,1,Bitcoin,"$71,193,463,799 ",$4308.13,"16,525,375","$1,626,550,000",-0.35%,-0.86%,4.42%,r_20170826-040005
