,symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk,file_name
157,RCN,971,Rcoin,? ,$0.000028,?,Low Vol,0.19%,?,-31.05%,r_20170804-070005
158,RLC,75,iExec RLC,"$35,204,452 ",$0.445227,"79,070,793",*,"$166,325",0.24%,7.73%,r_20170804-070005
159,EDR,103,E-Dinar Coin,"$20,580,147 ",$0.023223,"886,211,988","$263,997",-0.44%,-8.76%,-13.93%,r_20170804-070005
160,SH,733,Shilling,"$17,666 ",$0.004569,"3,866,850",*,Low Vol,0.25%,50.18%,r_20170804-070005
161,SBD,244,Steem Dollars,"$3,607,608 ",$1.00,"3,601,773",*,"$67,757",2.81%,7.76%,r_20170804-070005
162,WAVES,17,Waves,"$377,723,000 ",$3.78,"100,000,000",*,"$4,572,940",-0.40%,4.32%,r_20170804-070005
163,PUT,240,PutinCoin,"$3,817,190 ",$0.019032,"200,565,864","$2,674",0.30%,6.79%,3.76%,r_20170804-070005
164,RLT,330,RouletteToken,"$1,096,523 ",$0.108647,"10,092,527",*,"$7,846",2.49%,-6.43%,r_20170804-070005
165,ALT,338,Altcoin,"$946,801 ",$7.75,"122,175",*,"$1,281",0.13%,-6.17%,r_20170804-070005
166,LMC,171,LoMoCoin,"$8,928,298 ",$0.042037,"212,393,449",*,"$232,333",-1.61%,7.19%,r_20170804-070005
167,ORB,346,Orbitcoin,"$816,054 ",$0.271903,"3,001,267",$755,1.41%,7.87%,12.21%,r_20170804-070005
168,BAC,975,BitAlphaCoin,? ,$0.001922,?,Low Vol,0.18%,5.62%,14.08%,r_20170804-070005
169,I0C,339,I0Coin,"$940,360 ",$0.044823,"20,979,651","$1,500",0.13%,12.45%,8.80%,r_20170804-070005
170,BAT,902,BatCoin,? ,$0.000001,?,Low Vol,-0.25%,3.45%,-17.38%,r_20170804-070005
171,FUTC,949,FutCoin,? ,$0.000696,?,Low Vol,0.25%,2.56%,95.43%,r_20170804-070005
172,OMNI,111,Omni,"$18,444,824 ",$32.97,"559,453",*,"$293,049",0.96%,-0.28%,r_20170804-070005
